Original_insults,regex,insult_name,regex2
cierre la boca,cierr[a-z]+[(el )]+[(orto)|(ogt)|(pico)|(upite)]+,Cerra_el_orto,\bcierr[a-z]+[(el )]+[(orto)|(ogt)|(pico)|(upite)]+\b
cierren el orto,cierr[a-z]+[(el )]+[(orto)|(ogt)|(pico)|(upite)]+,Cerra_el_orto,\bcierr[a-z]+[(el )]+[(orto)|(ogt)|(pico)|(upite)]+\b
chabacanos,chabacan[a-z]*,Chabacanx,\bchabacan[a-z]*\b
deja de chamuyar,dej[a-z]+ de chamuyar,Chamuyo,\bdej[a-z]+ de chamuyar\b
chanta,chanta[s]?,Chanta,\bchanta[s]?\b
chantas,chanta[s]?,Chanta,\bchanta[s]?\b
chanta de mierda,chanta[s]?[(de )]+[(mierda)]+,Chanta,\bchanta[s]?[(de )]+[(mierda)]+\b
charlatan,charlatan[a-z]*,Charlatan,\bcharlatan[a-z]*\b
charlatanes,charlatan[a-z]*,Charlatan,\bcharlatan[a-z]*\b
cheta,chet[a-z]+,Chetx,\bchet[a-z]+\b
cheto,chet[a-z]+,Chetx,\bchet[a-z]+\b
chetos,chet[a-z]+,Chetx,\bchet[a-z]+\b
sos un chiste,so[n|s].*(chiste),Chiste,\bso[n|s].*(chiste)\b
choripanera,choripaner[a-z]+,Choripanerx,\bchoripaner[a-z]+\b
choriplanera,choriplaner[a-z]+,Choripanerx,\bchoriplaner[a-z]+\b
superchorros,.*chorr[aoe](s)?,Chorrx,\b.*chorr[aoe](s)?\b
chorra,chorr[a-z]+,Chorrx,\bchorr[a-z]+\b
chorres,chorr[a-z]+,Chorrx,\bchorr[a-z]+\b
chorro,chorr[a-z]+,Chorrx,\bchorr[a-z]+\b
chorros,chorr[a-z]+,Chorrx,\bchorr[a-z]+\b
chorros de mierda,chorr[a-z]+[(de )]+[(mierda)]+,Chorrx,\bchorr[a-z]+[(de )]+[(mierda)]+\b
le chupa 888 huevos,chupa.*huevo[s]?,Chupa_un_huevo,\bchupa.*huevo[s]?\b
le chupa un huevo,chupa.*huevo[s]?,Chupa_un_huevo,\bchupa.*huevo[s]?\b
chupa medias,chupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+,Chupamedias,\bchupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+\b
chupamedia,chupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+,Chupamedias,\bchupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+\b
se la chupan,se la chupa[sn]*,Chupar_la/el_*,\bse la chupa[sn]*\b
me chupas la pija,chupa.*pija[s]?,Chupar_la/el_*,\bchupa.*pija[s]?\b
chupaculo,chupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+,Chupar_la/el_*,\bchupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+\b
chupala,chupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+,Chupar_la/el_*,\bchupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+\b
chupame la pija,chupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+,Chupar_la/el_*,\bchupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+\b
chupame un huevo,chupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+,Chupar_la/el_*,\bchupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+\b
chupamela bien,chupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+,Chupar_la/el_*,\bchupa[a-z]*( (un|la|el))+( ?(media|pija|culo|huevo)(s)?)+\b
ciega,cieg[a-z]+,Ciegx,\bcieg[a-z]+\b
cinica,cinic[a-z]+,Cinicx,\bcinic[a-z]+\b
cinico,cinic[a-z]+,Cinicx,\bcinic[a-z]+\b
cinicos,cinic[a-z]+,Cinicx,\bcinic[a-z]+\b
flor de cinica,cinic[a-z]+,Cinicx,\bcinic[a-z]+\b
cipaya,cipay[a-z]+,Cipayx,\bcipay[a-z]+\b
cipayo,cipay[a-z]+,Cipayx,\bcipay[a-z]+\b
cipayos,cipay[a-z]+,Cipayx,\bcipay[a-z]+\b
cobarde,cobarde[s]?,Cobarde,\bcobarde[s]?\b
cobardes,cobarde[s]?,Cobarde,\bcobarde[s]?\b
codiciosos,codicios[a-z]+,Codiciosx,\bcodicios[a-z]+\b
te comas el verso,com[a-z] el verso,Comerse_el_verso,\bcom[a-z] el verso\b
complice,complice[s]?,Complice,\bcomplice[s]?\b
komplice,komplice[s]?,Complice_anti-K,\bkomplice[s]?\b
komplices,komplice[s]?,Complice_anti-K,\bkomplice[s]?\b
conchuda,conchud[a-z]+,Conchudx,\bconchud[a-z]+\b
conchudas,conchud[a-z]+,Conchudx,\bconchud[a-z]+\b
cornudo,cornud[a-z]+,Cornudx,\bcornud[a-z]+\b
corrupta,corrupt[a-z]+( de)?( mierda)?,Corruptx,\bcorrupt[a-z]+( de)?( mierda)?\b
corrupta de mierda,corrupt[a-z]+( de)?( mierda)?,Corruptx,\bcorrupt[a-z]+( de)?( mierda)?\b
corruptas,corrupt[a-z]+( de)?( mierda)?,Corruptx,\bcorrupt[a-z]+( de)?( mierda)?\b
corrupto,corrupt[a-z]+( de)?( mierda)?,Corruptx,\bcorrupt[a-z]+( de)?( mierda)?\b
corruptos,corrupt[a-z]+( de)?( mierda)?,Corruptx,\bcorrupt[a-z]+( de)?( mierda)?\b
korrupta,korrupt[a-z]+,Corruptx_anti-K,\bkorrupt[a-z]+\b
korrupto,korrupt[a-z]+,Corruptx_anti-K,\bkorrupt[a-z]+\b
korruptos,korrupt[a-z]+,Corruptx_anti-K,\bkorrupt[a-z]+\b
crapulas,crapula[s]?,Crapula,\bcrapula[s]?\b
kretina,kretin[a-z]+,Cretinx_anti-k,\bkretin[a-z]+\b
kretinos,kretin[a-z]+,Cretinx_anti-k,\bkretin[a-z]+\b
criminal,criminal[es]?,Criminal,\bcriminal[es]?\b
criminales,criminal[es]?,Criminal,\bcriminal[es]?\b
crueles,cruel[a-z]*,Cruel,\bcruel[a-z]*\b
cucarachas,cucaracha[s]?,Cucaracha,\bcucaracha[s]?\b
culo roto,culo (roto|sucio),Culo_roto,\bculo (roto|sucio)\b
culo sucio,culo (roto|sucio),Culo_roto,\bculo (roto|sucio)\b
das pena,(da[a-z]?)( (mucha|mas))? pena,Dar_pena,\b(da[a-z]?)( (mucha|mas))? pena\b
dan repulsion,(da[a-z]?)( (mucha|mas))? repulsion,Dar_repulsion,\b(da[a-z]?)( (mucha|mas))? repulsion\b
da verguenza,(da[a-z]?)( (mucha|mas))? verguenza,Dar_verguenza,\b(da[a-z]?)( (mucha|mas))? verguenza\b
da vergenza,(da[a-z]?)( (mucha|mas))? verguenza,Dar_verguenza,\b(da[a-z]?)( (mucha|mas))? verguenza\b
dan verguenza,(da[a-z]?)( (mucha|mas))? verguenza,Dar_verguenza,\b(da[a-z]?)( (mucha|mas))? verguenza\b
dan vergenza,(da[a-z]?)( (mucha|mas))? verguenza,Dar_verguenza,\b(da[a-z]?)( (mucha|mas))? verguenza\b
dan verguenza ajena,(da[a-z]?)( (mucha|mas))? verguenza,Dar_verguenza,\b(da[a-z]?)( (mucha|mas))? verguenza\b
dan vergenza ajena,(da[a-z]?)( (mucha|mas))? verguenza,Dar_verguenza,\b(da[a-z]?)( (mucha|mas))? verguenza\b
das verguenza,(da[a-z]?)( (mucha|mas))? verguenza,Dar_verguenza,\b(da[a-z]?)( (mucha|mas))? verguenza\b
das vergenza,(da[a-z]?)( (mucha|mas))? verguenza,Dar_verguenza,\b(da[a-z]?)( (mucha|mas))? verguenza\b
vergonzoso,(da|so|es).*(verguenza|vergonzos[a-z]+),Dar_verguenza,\b(da|so|es).*(verguenza|vergonzos[a-z]+)\b
verguenza ajena,(da|so|es).*(verguenza|vergonzos[a-z]+),Dar_verguenza,\b(da|so|es).*(verguenza|vergonzos[a-z]+)\b
vergenza ajena,(da|so|es).*(verguenza|vergonzos[a-z]+),Dar_verguenza,\b(da|so|es).*(verguenza|vergonzos[a-z]+)\b
verguenza nacional,(da|so|es).*(verguenza|vergonzos[a-z]+),Dar_verguenza,\b(da|so|es).*(verguenza|vergonzos[a-z]+)\b
me dan verguenza,da[ns]* verguenza,Dar_verguenza,\bda[ns]* verguenza\b
me das vergenza,da[ns]* verguenza,Dar_verguenza,\bda[ns]* verguenza\b
da asco,(da[a-z]?)( (mucho|mas))? asco,Das_asco,\b(da[a-z]?)( (mucho|mas))? asco\b
da mucho asco,(da[a-z]?)( (mucho|mas))? asco,Das_asco,\b(da[a-z]?)( (mucho|mas))? asco\b
dan asco,(da[a-z]?)( (mucho|mas))? asco,Das_asco,\b(da[a-z]?)( (mucho|mas))? asco\b
dan mas asco,(da[a-z]?)( (mucho|mas))? asco,Das_asco,\b(da[a-z]?)( (mucho|mas))? asco\b
das asco,(da[a-z]?)( (mucho|mas))? asco,Das_asco,\b(da[a-z]?)( (mucho|mas))? asco\b
asco das,asco [(me)|(nos)|(le)|(te)|(les)]* da[sn]*,Das_asco,\basco [(me)|(nos)|(le)|(te)|(les)]* da[sn]*\b
asco me dan,asco [(me)|(nos)|(le)|(te)|(les)]* da[sn]*,Das_asco,\basco [(me)|(nos)|(le)|(te)|(les)]* da[sn]*\b
me dan asco,da[ns]* asco,Das_asco,\bda[ns]* asco\b
me das asco,da[ns]* asco,Das_asco,\bda[ns]* asco\b
son de cuarta,so[n|s].*(cuarta|4ta),De_cuarta,\bso[n|s].*(cuarta|4ta)\b
sos de cuarta,so[n|s].*(cuarta|4ta),De_cuarta,\bso[n|s].*(cuarta|4ta)\b
dejate de joder,dej[a-z]+ de joder,Deja_de_joder,\bdej[a-z]+ de joder\b
dejense de joder,dej[a-z]+ de joder,Deja_de_joder,\bdej[a-z]+ de joder\b
deja de mentir,dej[a-z]+ de mentir,Deja_de_mentir,\bdej[a-z]+ de mentir\b
deja de vender humo,dej[a-z]+ de vender humo,Deja_de_mentir,\bdej[a-z]+ de vender humo\b
delincuenta,delincuent[a-z]+,Delincuentx,\bdelincuent[a-z]+\b
delincuente,delincuent[a-z]+,Delincuentx,\bdelincuent[a-z]+\b
delincuentes,delincuent[a-z]+,Delincuentx,\bdelincuent[a-z]+\b
delinkuente,delinkuent[a-z]+,Delincuentx_anti-K,\bdelinkuent[a-z]+\b
delirante,delirante[s]?,Delirante,\bdelirante[s]?\b
demagogo,demagog[a-z]+,Demagogx,\bdemagog[a-z]+\b
demente,demente,Demente,\bdemente\b
denunciadora serial,denunciador[a-z] serial[es]?,Denunciadorx,\bdenunciador[a-z] serial[es]?\b
desagradable,(so[sn]|es).*desagradable(s)?,Desagradable,\b(so[sn]|es).*desagradable(s)?\b
desagradale,(so[sn]|es).*desagradable(s)?,Desagradable,\b(so[sn]|es).*desagradable(s)?\b
descarados,descarad[a-z]+,Descaradx,\bdescarad[a-z]+\b
descerebrados,descerebrad[a-z]+,Descerebradx,\bdescerebrad[a-z]+\b
descerebrada,descerebrad[a-z]+,Descerebradx,\bdescerebrad[a-z]+\b
descerebrada neuronal,descerebrad[a-z]+,Descerebradx,\bdescerebrad[a-z]+\b
descerebrado,descerebrad[a-z]+,Descerebradx,\bdescerebrad[a-z]+\b
descerebrados,descerebrad[a-z]+,Descerebradx,\bdescerebrad[a-z]+\b
desestabilizador,desestabilizador[a-z]*,Desestabilizadorx,\bdesestabilizador[a-z]*\b
degenerados,degenerad[a-z]+,Desgeneradx,\bdegenerad[a-z]+\b
desgraciados,desgraciad[a-z]+,Desgraciadx,\bdesgraciad[a-z]+\b
despojo humano,despojo humano,Despojo_humano,\bdespojo humano\b
despreciable,(so[sn]|es).*despreciable(s)?,Despreciable,\b(so[sn]|es).*despreciable(s)?\b
ser despreciable,ser(es)? (despreciable|inmundo|siniestro|horrible)(s)?,Despreciable,\bser(es)? (despreciable|inmundo|siniestro|horrible)(s)?\b
desprestigiado,(so[sn]|es).*desprestigiad[a-z]+,Desprestigiadx,\b(so[sn]|es).*desprestigiad[a-z]+\b
desquiciada,desquiciad[a-z]+,Desquiciadx,\bdesquiciad[a-z]+\b
desquiciado,desquiciad[a-z]+,Desquiciadx,\bdesquiciad[a-z]+\b
destructores,destructor[a-z]+,Destructorx,\bdestructor[a-z]+\b
destructores sociales,destructor[a-z]+,Destructorx,\bdestructor[a-z]+\b
desvergonzado,desvergonzad[a-z]+,Desvergonzadx,\bdesvergonzad[a-z]+\b
desvergonzados,desvergonzad[a-z]+,Desvergonzadx,\bdesvergonzad[a-z]+\b
detestable,detestable[s]?,Detestable,\bdetestable[s]?\b
detestables,detestable[s]?,Detestable,\bdetestable[s]?\b
difamadora,difamador[a-z]*,Difamadorx,\bdifamador[a-z]*\b
dipuchorros,dipuchorr[a-z]+,Dipuchorrx,\bdipuchorr[a-z]+\b
diputrucho,diputruch[a-z]+,Diputruchx,\bdiputruch[a-z]+\b
dogmaticos,dogmatic[a-z]+,Dogmaticx,\bdogmatic[a-z]+\b
dolobus,dolobu[s]?,Dolobu,\bdolobu[s]?\b
drogadicta,(so[sn]|es).*drogadict[a-z]+,Drogadictx,\b(so[sn]|es).*drogadict[a-z]+\b
te duela el ort,duel[ae] el (ort|orto|ogt|ojete|culo),Duele_el_orto,\bduel[ae] el (ort|orto|ogt|ojete|culo)\b
egoista de mierda,egoista[s]?( de)?( mierda)?,Egoista,\begoista[s]?( de)?( mierda)?\b
empobrecedores,empobrecedor[a-z]+,Empobrecedorx,\bempobrecedor[a-z]+\b
zurda empobrecedora,empobrecedor[a-z]+,Empobrecedorx,\bempobrecedor[a-z]+\b
enano,enan[a-z]+,Enanx,\benan[a-z]+\b
enano maldito,enan[a-z]+,Enanx,\benan[a-z]+\b
energumeno,energumen[a-z]+,Energumenx,\benergumen[a-z]+\b
enfermantes,enfermante[s]?,Enfermante,\benfermante[s]?\b
enferma,(so[sn]|es).*enferm[a-z]+,Enfermx,\b(so[sn]|es).*enferm[a-z]+\b
enferma mental,(so[sn]|es).*enferm[a-z]+,Enfermx,\b(so[sn]|es).*enferm[a-z]+\b
enjendro,enjendr[a-z]+,Enjendro,\benjendr[a-z]+\b
entregaste el culo,entreg[a-z]+( el)+( (culo|orto|ogt))+,Entregar_el_culo,\bentreg[a-z]+( el)+( (culo|orto|ogt))+\b
envidiosa,envidios[a-z]+,Envidiosx,\benvidios[a-z]+\b
escoria,escoria[s]?,Escoria,\bescoria[s]?\b
escroto,(so[sn]|es).*escroto,Escroto,\b(so[sn]|es).*escroto\b
espuria,espuria[s]?,Espuria,\bespuria[s]?\b
estafadores,estafador[a-z]*,Estafadorx,\bestafador[a-z]*\b
q al pedo estas,al pedo esta[sn]?,Estar_al_pedo,\bal pedo esta[sn]?\b
estupida,estupid[a-z]+,Estupidx,\bestupid[a-z]+\b
estupido,estupid[a-z]+,Estupidx,\bestupid[a-z]+\b
estupidos,estupid[a-z]+,Estupidx,\bestupid[a-z]+\b
estupidxs,estupid[a-z]+,Estupidx,\bestupid[a-z]+\b
eunucos,eunuc[a-z]+,Eunucx,\beunuc[a-z]+\b
evasora,evasor[a-z]*,Evasorx,\bevasor[a-z]*\b
evasores,evasor[a-z]*,Evasorx,\bevasor[a-z]*\b
extorsionador,extorsionador[a-z]*,Extorsionadorx,\bextorsionador[a-z]*\b
facho,fach[a-z]+,Fachx,\bfach[a-z]+\b
fachos,fach[a-z]+,Fachx,\bfach[a-z]+\b
falsos,(so[sn]|es).*fals[a-z]+,Falsx,\b(so[sn]|es).*fals[a-z]+\b
fanatica,fanatic[a-z]+,Fanaticx,\bfanatic[a-z]+\b
fanaticos,fanatic[a-z]+,Fanaticx,\bfanatic[a-z]+\b
fascista,fascista[s]?,Fascistx,\bfascista[s]?\b
fascistas de cuarta,fascista[s]?,Fascistx,\bfascista[s]?\b
femibolche,femibolche[s]?,Feminazi_+,\bfemibolche[s]?\b
femidiotas,femidiota[s]?,Feminazi_+,\bfemidiota[s]?\b
femimbeciles,femimbecil[es]?,Feminazi_+,\bfemimbecil[es]?\b
feminazi,feminazi[s]?,Feminazi_+,\bfeminazi[s]?\b
